root@comp3134-Winter2024:~# tcpdump -i eth0 port 22
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
02:13:03.473950 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 1909272644:1909272752, ack 3369871162, win 501, options [nop,nop,TS val 2951843906 ecr 1725862439], length 108
02:13:03.474029 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 108:144, ack 1, win 501, options [nop,nop,TS val 2951843906 ecr 1725862439], length 36
02:13:03.474069 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 144:196, ack 1, win 501, options [nop,nop,TS val 2951843906 ecr 1725862439], length 52
02:13:03.474109 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 196:264, ack 1, win 501, options [nop,nop,TS val 2951843906 ecr 1725862439], length 68
02:13:03.474145 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 264:332, ack 1, win 501, options [nop,nop,TS val 2951843906 ecr 1725862439], length 68
02:13:03.474177 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 332:368, ack 1, win 501, options [nop,nop,TS val 2951843906 ecr 1725862439], length 36
02:13:03.480706 IP 141.117.117.234.13056 > comp3134-Winter2024.ssh: Flags [.], ack 368, win 19146, options [nop,nop,TS val 1725862449 ecr 2951843906], length 0
02:13:03.580450 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 368:596, ack 1, win 501, options [nop,nop,TS val 2951844013 ecr 1725862449], length 228
02:13:03.580626 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 596:632, ack 1, win 501, options [nop,nop,TS val 2951844013 ecr 1725862449], length 36
02:13:03.580650 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 632:836, ack 1, win 501, options [nop,nop,TS val 2951844013 ecr 1725862449], length 204
02:13:03.580730 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 836:872, ack 1, win 501, options [nop,nop,TS val 2951844013 ecr 1725862449], length 36
02:13:03.580794 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 872:1076, ack 1, win 501, options [nop,nop,TS val 2951844013 ecr 1725862449], length 204
02:13:03.580865 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 1076:1316, ack 1, win 501, options [nop,nop,TS val 2951844013 ecr 1725862449], length 240
02:13:03.580936 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 1316:1556, ack 1, win 501, options [nop,nop,TS val 2951844013 ecr 1725862449], length 240
02:13:03.580974 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 1556:1592, ack 1, win 501, options [nop,nop,TS val 2951844013 ecr 1725862449], length 36
02:13:03.581029 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 1592:1796, ack 1, win 501, options [nop,nop,TS val 2951844013 ecr 1725862449], length 204
02:13:03.581103 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 1796:2028, ack 1, win 501, options [nop,nop,TS val 2951844013 ecr 1725862449], length 232
02:13:03.581296 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 2028:2064, ack 1, win 501, options [nop,nop,TS val 2951844014 ecr 1725862449], length 36
02:13:03.586509 IP 141.117.117.234.13056 > comp3134-Winter2024.ssh: Flags [.], ack 2028, win 19126, options [nop,nop,TS val 1725862555 ecr 2951844013], length 0
02:13:03.587404 IP 141.117.117.234.13056 > comp3134-Winter2024.ssh: Flags [.], ack 2064, win 19151, options [nop,nop,TS val 1725862555 ecr 2951844014], length 0
02:13:03.677581 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 2064:2276, ack 1, win 501, options [nop,nop,TS val 2951844110 ecr 1725862555], length 212
